"chrom","start","end","nearest_alu_subfamily","distance","set","dose","overlaps_alu","symbol","gene_dist","ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"chr1",1073595,1074136,"AluSx1",2033,"SetA_ER_H3K27ac","10nM",FALSE,"RNF223",0,"ENSG00000237330",2998.13117205592,2.80711454173393,0.409229116891658,6.85951811800601,6.9093215883e-12,2.30126471034312e-09,TRUE
"chr1",1433050,1433347,"AluJb",2894,"SetA_ER_H3K27ac","10nM",FALSE,"LINC01770",0,"ENSG00000225285",7.24698607464493,-1.66671035160744,0.963413464651615,-1.73000524983336,0.083629337268676,0.702500494315772,FALSE
"chr1",1678459,1678642,"AluY",710,"SetA_ER_H3K27ac","10nM",FALSE,"SLC35E2B",0,"ENSG00000189339",2686.22801475294,0.591112220991849,0.131847068929164,4.48331711726886,7.34915890413133e-06,0.000552126283985566,TRUE
"chr1",2001770,2002033,"AluY",146,"SetA_ER_H3K27ac","10nM",FALSE,"CFAP74",0,"ENSG00000142609",3.34907282536664,1.79274083935351,1.7375323421772,1.03177408318462,0.302177962959507,1,FALSE
"chr1",3337407,3337605,"AluY",6017,"SetA_ER_H3K27ac","10nM",FALSE,"PRDM16",0,"ENSG00000142611",58.0984675718754,-0.605355280996526,0.486985618058285,-1.24306603429113,0.213843500860033,0.997304205644549,FALSE
"chr1",3338300,3338619,"AluY",5003,"SetA_ER_H3K27ac","10nM",FALSE,"PRDM16",0,"ENSG00000142611",58.0984675718754,-0.605355280996526,0.486985618058285,-1.24306603429113,0.213843500860033,0.997304205644549,FALSE
"chr1",6101061,6101369,"AluSz",9579,"SetA_ER_H3K27ac","10nM",FALSE,"KCNAB2",0,"ENSG00000069424",197.469642229622,0.289069783887841,0.266898253241862,1.08307109685685,0.278776866881859,1,FALSE
"chr1",6235256,6235467,"AluSz",802,"SetA_ER_H3K27ac","10nM",FALSE,"ICMT",0,"ENSG00000116237",3884.61357331349,-0.0880078017496373,0.132675021257087,-0.66333361710267,0.507116910847512,1,FALSE
"chr1",6483179,6483382,"AluJr",84,"SetA_ER_H3K27ac","10nM",FALSE,"PLEKHG5",0,"ENSG00000171680",115.935876507708,0.279072307462869,0.431985205648523,0.646022835536481,0.518264566743058,1,FALSE
"chr1",6611703,6611989,"AluSc",0,"SetA_ER_H3K27ac","10nM",TRUE,"KLHL21",0,"ENSG00000162413",1586.65746715243,0.486430569430677,0.259694304923338,1.87308909055311,0.0610560835808644,0.590297423454279,FALSE
"chr1",6622703,6622984,"AluSq2",1281,"SetA_ER_H3K27ac","10nM",FALSE,"PHF13",0,"ENSG00000116273",1194.71467470398,0.738260686726427,0.292274192858513,2.52591814387052,0.0115396365013526,0.216127549993469,FALSE
"chr1",6909638,6910353,"AluSq2",3750,"SetA_ER_H3K27ac","10nM",FALSE,"CAMTA1",0,"ENSG00000171735",1006.79244389219,0.0940702576580617,0.249968969384335,0.376327741358272,0.706673257957301,1,FALSE
"chr1",6910515,6910820,"AluSq2",3283,"SetA_ER_H3K27ac","10nM",FALSE,"CAMTA1",0,"ENSG00000171735",1006.79244389219,0.0940702576580617,0.249968969384335,0.376327741358272,0.706673257957301,1,FALSE
"chr1",6959461,6959993,"AluSx1",6601,"SetA_ER_H3K27ac","10nM",FALSE,"CAMTA1",0,"ENSG00000171735",1006.79244389219,0.0940702576580617,0.249968969384335,0.376327741358272,0.706673257957301,1,FALSE
"chr1",6960405,6960880,"AluSx",5732,"SetA_ER_H3K27ac","10nM",FALSE,"CAMTA1",0,"ENSG00000171735",1006.79244389219,0.0940702576580617,0.249968969384335,0.376327741358272,0.706673257957301,1,FALSE
"chr1",7228720,7228973,"AluJb",337,"SetA_ER_H3K27ac","10nM",FALSE,"CAMTA1",0,"ENSG00000171735",1006.79244389219,0.0940702576580617,0.249968969384335,0.376327741358272,0.706673257957301,1,FALSE
"chr1",7447144,7447382,"AluSz",2107,"SetA_ER_H3K27ac","10nM",FALSE,"CAMTA1",0,"ENSG00000171735",1006.79244389219,0.0940702576580617,0.249968969384335,0.376327741358272,0.706673257957301,1,FALSE
"chr1",7447797,7448231,"AluSz",1258,"SetA_ER_H3K27ac","10nM",FALSE,"CAMTA1",0,"ENSG00000171735",1006.79244389219,0.0940702576580617,0.249968969384335,0.376327741358272,0.706673257957301,1,FALSE
"chr1",9303084,9303319,"AluJr",1450,"SetA_ER_H3K27ac","10nM",FALSE,"SPSB1",0,"ENSG00000171621",536.074894692533,3.33232431176956,0.357554121491048,9.31977597649644,1.16586200477003e-20,3.35644595361896e-17,TRUE
"chr1",9325773,9326179,"AluSx",3322,"SetA_ER_H3K27ac","10nM",FALSE,"SPSB1",0,"ENSG00000171621",536.074894692533,3.33232431176956,0.357554121491048,9.31977597649644,1.16586200477003e-20,3.35644595361896e-17,TRUE
"chr1",9345997,9346361,"FLAM_C",675,"SetA_ER_H3K27ac","10nM",FALSE,"SPSB1",0,"ENSG00000171621",536.074894692533,3.33232431176956,0.357554121491048,9.31977597649644,1.16586200477003e-20,3.35644595361896e-17,TRUE
"chr1",9950424,9950762,"AluSx1",36,"SetA_ER_H3K27ac","10nM",FALSE,"NMNAT1",0,"ENSG00000173614",191.732088086788,0.168511373629981,0.29404749383676,0.573075360824295,0.566593669263106,1,FALSE
"chr1",10516537,10516773,"AluJb",3008,"SetA_ER_H3K27ac","10nM",FALSE,"PEX14",0,"ENSG00000142655",537.036661503355,0.00356642581781404,0.223148162699571,0.0159823221247651,0.987248494795832,1,FALSE
"chr1",10727788,10728046,"AluSz",1762,"SetA_ER_H3K27ac","10nM",FALSE,"CASZ1",0,"ENSG00000130940",1958.74019301314,0.514696573616068,0.426223231276376,1.20757512929257,0.227210730494449,1,FALSE
"chr1",12485229,12485971,"AluSg",1209,"SetA_ER_H3K27ac","10nM",FALSE,"VPS13D",0,"ENSG00000048707",1909.01525843773,-0.266316259873271,0.203924052825334,-1.30595805734293,0.191566821322589,0.96928232336716,FALSE
"chr1",12486325,12486765,"AluSx3",563,"SetA_ER_H3K27ac","10nM",FALSE,"VPS13D",0,"ENSG00000048707",1909.01525843773,-0.266316259873271,0.203924052825334,-1.30595805734293,0.191566821322589,0.96928232336716,FALSE
"chr1",12600187,12600756,"AluJb",1785,"SetA_ER_H3K27ac","10nM",FALSE,"DHRS3",0,"ENSG00000162496",691.808707027327,1.83390202083971,0.28962440052711,6.3320010934923,2.42001771618676e-10,5.49564023184957e-08,TRUE
"chr1",14926044,14926381,"AluY",1788,"SetA_ER_H3K27ac","10nM",FALSE,"KAZN",0,"ENSG00000189337",1970.07010881287,2.08006404663074,0.366810191319492,5.67068226525637,1.4222996374293e-08,2.16971266827383e-06,TRUE
"chr1",14977280,14977635,"AluSx3",195,"SetA_ER_H3K27ac","10nM",FALSE,"KAZN",0,"ENSG00000189337",1970.07010881287,2.08006404663074,0.366810191319492,5.67068226525637,1.4222996374293e-08,2.16971266827383e-06,TRUE
"chr1",15015744,15016323,"AluSq2",0,"SetA_ER_H3K27ac","10nM",TRUE,"KAZN",0,"ENSG00000189337",1970.07010881287,2.08006404663074,0.366810191319492,5.67068226525637,1.4222996374293e-08,2.16971266827383e-06,TRUE
"chr1",15016846,15017574,"AluSx",0,"SetA_ER_H3K27ac","10nM",TRUE,"KAZN",0,"ENSG00000189337",1970.07010881287,2.08006404663074,0.366810191319492,5.67068226525637,1.4222996374293e-08,2.16971266827383e-06,TRUE
"chr1",15021517,15021712,"AluSz6",1830,"SetA_ER_H3K27ac","10nM",FALSE,"KAZN",0,"ENSG00000189337",1970.07010881287,2.08006404663074,0.366810191319492,5.67068226525637,1.4222996374293e-08,2.16971266827383e-06,TRUE
"chr1",15025491,15025993,"AluSz",0,"SetA_ER_H3K27ac","10nM",TRUE,"KAZN",0,"ENSG00000189337",1970.07010881287,2.08006404663074,0.366810191319492,5.67068226525637,1.4222996374293e-08,2.16971266827383e-06,TRUE
"chr1",16212478,16212669,"AluSz",1107,"SetA_ER_H3K27ac","10nM",FALSE,"ARHGEF19",0,"ENSG00000142632",779.707023691444,-0.0206791715894592,0.198713562537045,-0.104065224967239,0.917117587435997,1,FALSE
"chr1",16608279,16608889,"AluJo",60,"SetA_ER_H3K27ac","10nM",FALSE,"NBPF1",0,"ENSG00000219481",3745.73499488478,1.44791977992391,0.259859680711954,5.57192934262427,2.51933603031794e-08,3.62204397337221e-06,TRUE
"chr1",16611942,16612147,"AluJb",0,"SetA_ER_H3K27ac","10nM",TRUE,"NBPF1",0,"ENSG00000219481",3745.73499488478,1.44791977992391,0.259859680711954,5.57192934262427,2.51933603031794e-08,3.62204397337221e-06,TRUE
"chr1",16614239,16614679,"AluJb",643,"SetA_ER_H3K27ac","10nM",FALSE,"ENSG00000271732",0,"ENSG00000271732",125.001648839313,2.26089513640906,0.390275379170399,5.79307652256978,6.91085993986847e-09,1.1508885419861e-06,TRUE
"chr1",17098966,17099219,"AluSx1",1057,"SetA_ER_H3K27ac","10nM",FALSE,"PADI2",0,"ENSG00000117115",3164.60076444084,0.0482522689294585,0.262696832862104,0.183680436508297,0.854264157178739,1,FALSE
