"chrom","start","end","pro_plus_abs","pro_minus_abs","bidir","in_setB"
"chr1",15015890,15016172,86.25,51.72,0.599652173913043,TRUE
"chr1",177448801,177449030,7.09,0,0,FALSE
"chr1",202335316,202335676,0,38.23,0,FALSE
"chr1",206903659,206903973,25.99,11.24,0.432474028472489,TRUE
"chr10",9188256,9188523,119.33,59.59,0.499371490823766,TRUE
"chr10",29125001,29125280,87.43,13.49,0.154294864462999,TRUE
"chr10",113678681,113679045,0,22.48,0,FALSE
"chr10",115664728,115665064,72.07,13.49,0.187179131400028,TRUE
"chr10",125624825,125625069,7.09,59.59,0.118979694579627,FALSE
"chr11",1796530,1796894,30.71,107.94,0.284509912914582,TRUE
"chr11",30521750,30521977,1.18,10.12,0.116600790513834,FALSE
"chr11",69515346,69515596,51.99,79.84,0.651177354709419,TRUE
"chr11",69891630,69891877,11.82,0,0,FALSE
"chr11",72786504,72786719,1863.28,7.87,0.00422373448971706,FALSE
"chr11",76772600,76772886,7.08,9,0.786666666666667,TRUE
"chr11",78260119,78260414,15.36,37.11,0.413904607922393,TRUE
"chr11",79060002,79060511,16.54,67.46,0.24518233026979,TRUE
"chr11",118057893,118058137,0,111.32,0,FALSE
"chr11",131692244,131692561,9.45,1.12,0.118518518518519,FALSE
"chr12",74871873,74872190,11.8,2.25,0.190677966101695,TRUE
"chr12",89465012,89465239,5.91,46.1,0.128199566160521,FALSE
"chr12",97568736,97569021,148.87,39.35,0.264324578491301,TRUE
"chr12",103175682,103175906,2.36,0,0,FALSE
"chr12",116390409,116390739,13,16.86,0.771055753262159,TRUE
"chr13",38684817,38685106,564.77,130.43,0.230943569948829,TRUE
"chr14",33781416,33781700,2.36,6.74,0.350148367952522,TRUE
"chr14",77400275,77400589,4.72,10.12,0.466403162055336,TRUE
"chr14",93017459,93017676,2.36,0,0,FALSE
"chr14",100012335,100012546,4.73,14.62,0.323529411764706,TRUE
"chr15",39668517,39668793,8.27,1.12,0.135429262394196,FALSE
"chr15",65286169,65286504,164.23,156.29,0.951653169335688,TRUE
"chr15",71104787,71105000,34.26,0,0,FALSE
"chr16",4152307,4152600,8.27,102.32,0.080824863174355,FALSE
"chr16",16973870,16974118,30.72,11.24,0.365885416666667,TRUE
"chr17",57342898,57343217,231.58,2.25,0.00971586492788669,FALSE
"chr17",58639720,58639974,0,0,0,FALSE
"chr19",40920965,40921766,219.77,33.73,0.153478636756609,TRUE
"chr2",11498587,11498893,30.71,138.31,0.222037452100354,TRUE
"chr2",11539556,11539836,51.99,60.72,0.856225296442688,TRUE
"chr2",99636703,99636935,0,1.12,0,FALSE
"chr2",138435815,138436026,16.54,0,0,FALSE
"chr2",176845777,176845995,22.44,0,0,FALSE
"chr2",237041382,237041602,1.18,1.12,0.949152542372881,TRUE
"chr20",50727424,50727773,3.54,55.1,0.0642468239564428,FALSE
"chr20",56735314,56735558,7.09,47.23,0.150116451408003,TRUE
"chr21",15586908,15587257,3.54,3.37,0.951977401129944,TRUE
"chr22",28813708,28813989,61.44,116.95,0.5253527148354,TRUE
"chr22",37189203,37189443,0,12.36,0,FALSE
"chr22",39292907,39293161,360.37,6.74,0.0187029996947582,FALSE
"chr3",107999562,107999832,282.38,0,0,FALSE
"chr3",120661394,120661614,1.18,24.73,0.0477153255155681,FALSE
"chr3",189842729,189842983,38.99,202.4,0.192638339920949,TRUE
"chr4",88335022,88335270,68.53,12.37,0.180504888370057,TRUE
"chr4",100780237,100780452,1.18,0,0,FALSE
"chr5",106241554,106241930,57.88,0,0,FALSE
"chr5",125410083,125410350,18.91,58.48,0.323358413132695,TRUE
"chr5",132378689,132378906,82.7,1.12,0.0135429262394196,FALSE
"chr5",174483457,174483711,3.54,9,0.393333333333333,TRUE
"chr6",53464981,53465245,4.72,12.36,0.381877022653722,TRUE
"chr6",73520109,73521330,328.47,8648.22,0.0379812261945233,FALSE
"chr6",135211302,135211537,33.08,55.1,0.600362976406534,TRUE
"chr6",151658140,151658385,35.44,214.77,0.165013735624156,TRUE
"chr7",16880611,16880838,180.77,22.49,0.124412236543674,FALSE
"chr7",33832908,33833173,2.36,0,0,FALSE
"chr7",35025320,35025540,0,43.85,0,FALSE
"chr8",8289176,8289429,2.36,2.25,0.953389830508475,TRUE
"chr8",66714065,66714337,37.81,55.1,0.686206896551724,TRUE
"chr8",68854511,68854776,49.62,37.1,0.747682386134623,TRUE
"chr8",97764126,97764652,1.18,0,0,FALSE
"chr8",106624083,106624294,0,0,0,FALSE
"chr8",127870584,127870925,1111.83,511.63,0.460169270481998,TRUE
"chr8",128141939,128142233,72.07,8.99,0.124739836270293,FALSE
"chr9",92988547,92988769,9.46,0,0,FALSE
"chrX",16662366,16662709,41.36,115.83,0.35707502374169,TRUE
"chrX",140492316,140492591,4.72,0,0,FALSE
